"Sens Factor =1.516dB, SERNO: 7055332"
"Auto-generated 90-degree calibration file"
832.766	0.0006
843.133	-0.0009
853.629	-0.0023
864.255	-0.0037
875.014	-0.0049
885.907	-0.0061
896.935	-0.0073
908.101	-0.0087
919.406	-0.0101
930.851	-0.0115
942.439	-0.0132
954.171	-0.0149
966.049	-0.0169
978.076	-0.0192
990.251	-0.0217
1002.579	-0.0245
1015.060	-0.0274
1027.696	-0.0305
1040.489	-0.0339
1053.442	-0.0370
1066.556	-0.0400
1079.833	-0.0428
1093.276	-0.0453
1106.886	-0.0476
1120.665	-0.0495
1134.616	-0.0512
1148.741	-0.0527
1163.041	-0.0539
1177.519	-0.0550
1192.178	-0.0558
1207.019	-0.0564
1222.045	-0.0571
1237.258	-0.0576
1252.660	-0.0578
1268.254	-0.0579
1284.042	-0.0580
1300.027	-0.0579
1316.211	-0.0577
1332.596	-0.0575
1349.185	-0.0572
1365.981	-0.0574
1382.985	-0.0578
1400.202	-0.0583
1417.633	-0.0589
1435.280	-0.0594
1453.148	-0.0602
1471.238	-0.0609
1489.553	-0.0613
1508.096	-0.0616
1526.870	-0.0616
1545.877	-0.0612
1565.121	-0.0603
1584.605	-0.0591
1604.332	-0.0573
1624.303	-0.0550
1644.524	-0.0523
1664.996	-0.0491
1685.723	-0.0454
1706.708	-0.0415
1727.955	-0.0378
1749.466	-0.0340
1771.244	-0.0299
1793.294	-0.0257
1815.618	-0.0213
1838.221	-0.0165
1861.104	-0.0116
1884.272	-0.0064
1907.729	-0.0008
1931.478	0.0044
1955.523	0.0098
1979.866	0.0154
2004.513	0.0214
2029.467	0.0278
2054.731	0.0343
2080.310	0.0410
2106.207	0.0476
2132.427	0.0543
2158.973	0.0607
2185.849	0.0669
2213.060	0.0729
2240.610	0.0790
2268.503	0.0847
2296.743	0.0902
2325.334	0.0957
2354.282	0.1009
2383.590	0.1061
2413.262	0.1115
2443.305	0.1167
2473.721	0.1221
2504.515	0.1278
2535.693	0.1338
2567.260	0.1398
2599.219	0.1459
2631.576	0.1520
2664.335	0.1582
2697.503	0.1648
2731.084	0.1718
2765.082	0.1790
2799.504	0.1864
2834.354	0.1940
2869.638	0.2016
2905.362	0.2087
2941.530	0.2158
2978.148	0.2230
3015.222	0.2304
3052.758	0.2379
3090.761	0.2454
3129.237	0.2530
3168.192	0.2607
3207.632	0.2684
3247.563	0.2759
3287.991	0.2831
3328.923	0.2904
3370.364	0.2978
3412.320	0.3056
3454.799	0.3139
3497.807	0.3228
3541.351	0.3327
3585.436	0.3433
3630.070	0.3543
3675.260	0.3658
3721.012	0.3775
3767.334	0.3895
3814.233	0.4018
3861.715	0.4139
3909.789	0.4257
3958.460	0.4369
4007.738	0.4478
4057.630	0.4582
4108.142	0.4678
4159.283	0.4773
4211.061	0.4867
4263.483	0.4961
4316.559	0.5056
4370.294	0.5153
4424.699	0.5249
4479.781	0.5345
4535.548	0.5442
4592.010	0.5537
4649.175	0.5629
4707.051	0.5719
4765.648	0.5807
4824.975	0.5890
4885.039	0.5955
4945.852	0.6010
5007.421	0.6060
5069.757	0.6101
5132.870	0.6129
5196.768	0.6133
5261.460	0.6118
5326.959	0.6079
5393.273	0.6014
5460.413	0.5924
5528.388	0.5811
5597.209	0.5677
5666.887	0.5525
5737.433	0.5359
5808.857	0.5184
5881.169	0.5001
5954.383	0.4810
6028.507	0.4615
6103.555	0.4417
6179.536	0.4217
6256.464	0.4015
6334.349	0.3815
6413.204	0.3616
6493.040	0.3422
6573.870	0.3232
6655.706	0.3046
6738.562	0.2862
6822.448	0.2676
6907.379	0.2482
6993.367	0.2269
7080.426	0.2027
7168.568	0.1743
7257.808	0.1411
7348.158	0.1033
7439.633	0.0594
7532.248	0.0089
7626.015	-0.0470
7720.949	-0.1054
7817.065	-0.1653
7914.377	-0.2263
8012.901	-0.2887
8112.652	-0.3530
8213.645	-0.4190
8315.894	-0.4899
8419.416	-0.5666
8524.228	-0.6494
8630.343	-0.7384
8737.780	-0.8314
8846.555	-0.9262
8956.683	-1.0215
9068.182	-1.1166
9181.069	-1.2113
9295.362	-1.3056
9411.078	-1.4001
9528.233	-1.4956
9646.849	-1.5928
9766.939	-1.6930
9888.525	-1.7960
10011.625	-1.9019
10136.257	-2.0108
10262.440	-2.1223
10390.195	-2.2350
10519.540	-2.3500
10650.495	-2.4671
10783.080	-2.5861
10917.316	-2.7068
11053.223	-2.8292
11190.821	-2.9534
11330.133	-3.0793
11471.179	-3.2069
11613.980	-3.3354
11758.561	-3.4641
11904.939	-3.5919
12053.141	-3.7177
12203.188	-3.8402
12355.102	-3.9586
12508.907	-4.0728
12664.627	-4.1845
12822.286	-4.2957
12981.907	-4.4071
13143.516	-4.5197
13307.136	-4.6336
13472.793	-4.7487
13640.512	-4.8637
13810.319	-4.9761
13982.240	-5.0852
14156.302	-5.1909
14332.529	-5.2925
14510.951	-5.3916
14691.595	-5.4891
14874.486	-5.5871
15059.655	-5.6863
15247.129	-5.7870
15436.937	-5.8887
15629.106	-5.9912
15823.669	-6.0943
16020.654	-6.1979
16220.091	-6.3018
16422.010	-6.4055
16626.443	-6.5090
16833.422	-6.6128
17042.977	-6.7170
17255.141	-6.8210
17469.945	-6.9240
17687.424	-7.0264
17907.609	-7.1119
18130.537	-7.1989
18356.240	-7.2871
18584.752	-7.3766
18816.107	-7.4676
19050.346	-7.5596
19287.498	-7.6520
19527.604	-7.7449
19770.697	-7.8382
20016.816	-7.9325
